日期	虞北平原上河区	虞北平原中河区	余姚平原上河区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	余姚平原下河区	余姚平原马渚中河区	丰惠平原区	余姚平原姚江上游区	余姚平原姚江下游区	江北镇海平原区	日引水量(万m3)	日均引水流量(m3/s)
2026/03/03	12.717499999999998	0.0	10.1691	17.0493	21.2933	23.2623	7.531499999999999	0.0	3.5791000000000004	4.085100000000001	5.337000000000001	64.1268	169.15099999999998	19.577662037037033
2026/03/04	13.780499999999996	0.0	11.2321	18.1123	22.356299999999997	24.3253	8.5945	0.137	4.6421	5.1481	6.4	65.1898	179.918	20.82384259259259
2026/03/05	13.989499999999998	0.0	11.4411	18.321299999999997	22.565299999999997	24.5343	8.8035	0.3460000000000001	4.851100000000001	5.357100000000001	6.609000000000001	65.3988	182.21699999999998	21.08993055555555
2026/03/06	14.153499999999998	0.0	11.6051	18.4853	22.7293	24.6983	8.9675	0.51	5.0151	5.521100000000001	6.773000000000001	65.5628	184.02100000000002	21.298726851851853
2026/03/07	14.284499999999998	0.0	11.7361	18.6163	22.8603	24.8293	9.0985	0.6410000000000001	5.146100000000001	5.652100000000001	6.904000000000001	65.6938	185.462	21.465509259259257
2026/03/08	14.377499999999998	0.0	11.8291	18.7093	22.9533	24.9223	9.1915	0.7340000000000001	5.2391000000000005	5.745100000000001	6.997000000000001	65.7868	186.485	21.583912037037038
2026/03/09	14.452499999999995	0.0	11.9041	18.7843	23.0283	24.9973	9.2665	0.809	5.3141	5.8201	7.072000000000001	65.8618	187.31	21.679398148148145
2026/03/10	14.505499999999998	0.0	11.9571	18.8373	23.0813	25.0503	9.3195	0.8620000000000001	5.367100000000001	5.873100000000001	7.125000000000001	65.9148	187.89299999999997	21.746874999999996
2026/03/11	14.465499999999995	0.0	11.9171	18.7973	23.0413	25.0103	9.2795	0.8220000000000001	5.3271	5.8331	7.085000000000001	65.8748	187.453	21.695949074074072
2026/03/12	14.420499999999995	0.0	11.8721	18.7523	22.9963	24.9653	9.2345	0.7770000000000001	5.2821	5.7881	7.040000000000001	65.8298	186.95800000000003	21.638657407407408
2026/03/13	14.413499999999996	0.0	11.8651	18.7453	22.9893	24.9583	9.2275	0.7700000000000001	5.2751	5.7811	7.033000000000001	65.8228	186.88099999999997	21.629745370370365
2026/03/14	14.427499999999997	0.0	11.8791	18.7593	23.0033	24.9723	9.241499999999998	0.7840000000000001	5.2891	5.795100000000001	7.047000000000001	65.8368	187.03500000000003	21.647569444444446
2026/03/15	14.416499999999996	0.0	11.8681	18.7483	22.9923	24.9613	9.2305	0.7730000000000001	5.2781	5.7841000000000005	7.0360000000000005	65.8258	186.914	21.63356481481481
2026/03/16	14.434499999999998	0.0	11.8861	18.7663	23.010299999999997	24.9793	9.2485	0.791	5.2961	5.8021	7.054	65.8438	187.11199999999997	21.656481481481475
2026/03/17	14.468499999999995	0.0	11.9201	18.8003	23.0443	25.0133	9.2825	0.8250000000000001	5.3301	5.8361	7.088000000000001	65.8778	187.486	21.699768518518518
2026/03/18	14.512499999999998	0.0	11.9641	18.844299999999997	23.088299999999997	25.0573	9.3265	0.8690000000000001	5.3741	5.8801000000000005	7.132000000000001	65.9218	187.97	21.755787037037035
2026/03/19	14.559499999999998	0.0	12.0111	18.8913	23.135299999999997	25.1043	9.3735	0.916	5.4211	5.9271	7.179	65.9688	188.48699999999997	21.815624999999994
