日期	余姚平原下河区	余姚平原马渚中河区	日引水量(万m3)	日均引水流量(m3/s)
2026/03/03	7.531499999999999	0.0	7.531499999999999	0.8717013888888888
2026/03/04	8.5945	0.137	8.7315	1.0105902777777778
2026/03/05	8.8035	0.3460000000000001	9.1495	1.0589699074074073
2026/03/06	8.9675	0.51	9.4775	1.0969328703703702
2026/03/07	9.0985	0.6410000000000001	9.7395	1.1272569444444442
2026/03/08	9.1915	0.7340000000000001	9.9255	1.148784722222222
2026/03/09	9.2665	0.809	10.0755	1.1661458333333332
2026/03/10	9.3195	0.8620000000000001	10.1815	1.1784143518518517
2026/03/11	9.2795	0.8220000000000001	10.101500000000001	1.1691550925925926
2026/03/12	9.2345	0.7770000000000001	10.011500000000002	1.1587384259259261
2026/03/13	9.2275	0.7700000000000001	9.997499999999999	1.1571180555555554
2026/03/14	9.241499999999998	0.7840000000000001	10.0255	1.1603587962962962
2026/03/15	9.2305	0.7730000000000001	10.003499999999999	1.1578125
2026/03/16	9.2485	0.791	10.0395	1.1619791666666666
2026/03/17	9.2825	0.8250000000000001	10.1075	1.169849537037037
2026/03/18	9.3265	0.8690000000000001	10.1955	1.180034722222222
2026/03/19	9.3735	0.916	10.2895	1.190914351851852
2026/03/20	8.898499999999999	0.441	9.3395	1.080960648148148
2026/03/21	6.698499999999999	0.0	6.698499999999999	0.7752893518518517
2026/03/22	8.330499999999999	0.0	8.330499999999999	0.9641782407407405
2026/03/23	8.8445	0.387	9.2315	1.0684606481481482
2026/03/24	6.570499999999999	0.0	6.570499999999999	0.7604745370370369
2026/03/25	8.234499999999999	0.0	8.234499999999999	0.9530671296296295
2026/03/26	6.076499999999999	0.0	6.076499999999999	0.703298611111111
2026/03/27	4.1995	0.0	4.1995	0.48605324074074063
2026/03/28	6.469499999999999	0.0	6.469499999999999	0.748784722222222
2026/03/29	5.689499999999999	0.0	5.689499999999999	0.6585069444444442
2026/03/30	4.830499999999999	0.0	4.830499999999999	0.559085648148148
2026/03/31	7.339499999999999	0.0	7.339499999999999	0.8494791666666666
2026/04/01	9.4935	0.266	9.7595	1.1295717592592591
2026/04/02	9.767499999999998	0.54	10.307499999999997	1.192997685185185
2026/04/03	2.7905	0.0	2.7905	0.32297453703703705
