日期	虞北平原上河区	虞北平原中河区	余姚平原上河区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	余姚平原下河区	余姚平原马渚中河区	日引水量(万m3)	日均引水流量(m3/s)
2026/03/03	12.717499999999998	0.0	10.1691	17.0493	21.2933	23.2623	7.531499999999999	0.0	92.02299999999998	10.650810185185183
2026/03/04	13.780499999999996	0.0	11.2321	18.1123	22.356299999999997	24.3253	8.5945	0.137	98.538	11.40486111111111
2026/03/05	13.989499999999998	0.0	11.4411	18.321299999999997	22.565299999999997	24.5343	8.8035	0.3460000000000001	100.00099999999999	11.574189814814813
2026/03/06	14.153499999999998	0.0	11.6051	18.4853	22.7293	24.6983	8.9675	0.51	101.149	11.707060185185185
2026/03/07	14.284499999999998	0.0	11.7361	18.6163	22.8603	24.8293	9.0985	0.6410000000000001	102.066	11.813194444444443
2026/03/08	14.377499999999998	0.0	11.8291	18.7093	22.9533	24.9223	9.1915	0.7340000000000001	102.71699999999998	11.888541666666663
2026/03/09	14.452499999999995	0.0	11.9041	18.7843	23.0283	24.9973	9.2665	0.809	103.24199999999999	11.949305555555554
2026/03/10	14.505499999999998	0.0	11.9571	18.8373	23.0813	25.0503	9.3195	0.8620000000000001	103.613	11.99224537037037
2026/03/11	14.465499999999995	0.0	11.9171	18.7973	23.0413	25.0103	9.2795	0.8220000000000001	103.333	11.959837962962961
2026/03/12	14.420499999999995	0.0	11.8721	18.7523	22.9963	24.9653	9.2345	0.7770000000000001	103.018	11.923379629629629
2026/03/13	14.413499999999996	0.0	11.8651	18.7453	22.9893	24.9583	9.2275	0.7700000000000001	102.96899999999998	11.91770833333333
2026/03/14	14.427499999999997	0.0	11.8791	18.7593	23.0033	24.9723	9.241499999999998	0.7840000000000001	103.06700000000001	11.929050925925926
2026/03/15	14.416499999999996	0.0	11.8681	18.7483	22.9923	24.9613	9.2305	0.7730000000000001	102.99000000000001	11.92013888888889
2026/03/16	14.434499999999998	0.0	11.8861	18.7663	23.010299999999997	24.9793	9.2485	0.791	103.11599999999999	11.93472222222222
2026/03/17	14.468499999999995	0.0	11.9201	18.8003	23.0443	25.0133	9.2825	0.8250000000000001	103.354	11.962268518518517
2026/03/18	14.512499999999998	0.0	11.9641	18.844299999999997	23.088299999999997	25.0573	9.3265	0.8690000000000001	103.66199999999999	11.997916666666665
2026/03/19	14.559499999999998	0.0	12.0111	18.8913	23.135299999999997	25.1043	9.3735	0.916	103.99099999999999	12.035995370370367
2026/03/20	14.084499999999997	0.0	11.5361	18.4163	22.6603	24.6293	8.898499999999999	0.441	100.666	11.651157407407407
2026/03/21	11.884499999999996	0.0	9.3361	16.216299999999997	20.460299999999997	22.4293	6.698499999999999	0.0	87.02499999999999	10.072337962962962
2026/03/22	13.516499999999995	0.0	10.9681	17.8483	22.0923	24.0613	8.330499999999999	0.0	96.817	11.205671296296295
2026/03/23	14.030499999999996	0.0	11.4821	18.3623	22.606299999999997	24.5753	8.8445	0.387	100.288	11.607407407407406
2026/03/24	11.756499999999996	0.0	9.2081	16.088299999999997	20.332299999999996	22.3013	6.570499999999999	0.0	86.25699999999999	9.983449074074072
2026/03/25	13.420499999999995	0.0	10.8721	17.752299999999998	21.9963	23.9653	8.234499999999999	0.0	96.24099999999999	11.139004629629627
2026/03/26	11.262499999999998	0.0	8.7141	15.5943	19.838299999999997	21.8073	6.076499999999999	0.0	83.29299999999999	9.640393518518517
2026/03/27	9.385499999999997	0.0	6.8371	13.717299999999998	17.961299999999998	19.9303	4.1995	0.0	72.03099999999999	8.336921296296294
2026/03/28	11.655499999999996	0.0	9.1071	15.987299999999998	20.231299999999997	22.2003	6.469499999999999	0.0	85.651	9.913310185185184
2026/03/29	10.875499999999995	0.0	8.3271	15.207299999999998	19.451299999999996	21.420299999999997	5.689499999999999	0.0	80.97099999999999	9.371643518518516
2026/03/30	10.016499999999995	0.0	7.4681	14.348299999999998	18.5923	20.5613	4.830499999999999	0.0	75.817	8.77511574074074
2026/03/31	12.525499999999996	0.0	9.9771	16.8573	21.1013	23.0703	7.339499999999999	0.0	90.871	10.51747685185185
2026/04/01	16.6595	0.0	13.0311	20.0013	23.6053	25.2843	9.4935	0.266	108.34100000000001	12.539467592592592
2026/04/02	16.9335	0.0	13.3051	20.2753	23.879299999999997	25.5583	9.767499999999998	0.54	110.259	12.761458333333332
2026/04/03	9.3165	0.0	6.9681	7.7483	5.0123	3.841300000000001	2.7905	0.0	35.677	4.129282407407407
