日期	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	日引水量(万m3)	日均引水流量(m3/s)
2026/03/03	17.0493	21.2933	23.2623	61.6049	7.130196759259259
2026/03/04	18.1123	22.356299999999997	24.3253	64.7939	7.49929398148148
2026/03/05	18.321299999999997	22.565299999999997	24.5343	65.42089999999999	7.571863425925924
2026/03/06	18.4853	22.7293	24.6983	65.9129	7.628807870370369
2026/03/07	18.6163	22.8603	24.8293	66.3059	7.674293981481481
2026/03/08	18.7093	22.9533	24.9223	66.5849	7.706585648148148
2026/03/09	18.7843	23.0283	24.9973	66.8099	7.732627314814814
2026/03/10	18.8373	23.0813	25.0503	66.96889999999999	7.751030092592591
2026/03/11	18.7973	23.0413	25.0103	66.8489	7.737141203703703
2026/03/12	18.7523	22.9963	24.9653	66.7139	7.721516203703703
2026/03/13	18.7453	22.9893	24.9583	66.69290000000001	7.719085648148148
2026/03/14	18.7593	23.0033	24.9723	66.7349	7.723946759259258
2026/03/15	18.7483	22.9923	24.9613	66.7019	7.720127314814814
2026/03/16	18.7663	23.010299999999997	24.9793	66.7559	7.726377314814814
2026/03/17	18.8003	23.0443	25.0133	66.8579	7.73818287037037
2026/03/18	18.844299999999997	23.088299999999997	25.0573	66.98989999999999	7.753460648148146
2026/03/19	18.8913	23.135299999999997	25.1043	67.1309	7.769780092592591
2026/03/20	18.4163	22.6603	24.6293	65.7059	7.604849537037037
2026/03/21	16.216299999999997	20.460299999999997	22.4293	59.10589999999999	6.840960648148147
2026/03/22	17.8483	22.0923	24.0613	64.0019	7.407627314814815
2026/03/23	18.3623	22.606299999999997	24.5753	65.5439	7.586099537037036
2026/03/24	16.088299999999997	20.332299999999996	22.3013	58.72189999999999	6.796516203703702
2026/03/25	17.752299999999998	21.9963	23.9653	63.713899999999995	7.374293981481481
2026/03/26	15.5943	19.838299999999997	21.8073	57.23989999999999	6.624988425925925
2026/03/27	13.717299999999998	17.961299999999998	19.9303	51.60889999999999	5.973252314814814
2026/03/28	15.987299999999998	20.231299999999997	22.2003	58.418899999999994	6.761446759259258
2026/03/29	15.207299999999998	19.451299999999996	21.420299999999997	56.07889999999999	6.4906134259259245
2026/03/30	14.348299999999998	18.5923	20.5613	53.501900000000006	6.192349537037037
2026/03/31	16.8573	21.1013	23.0703	61.02889999999999	7.0635300925925915
2026/04/01	20.0013	23.6053	25.2843	68.8909	7.973483796296296
2026/04/02	20.2753	23.879299999999997	25.5583	69.7129	8.068622685185185
2026/04/03	7.7483	5.0123	3.841300000000001	16.6019	1.9215162037037037
