日期	丰惠平原区	余姚平原姚江上游区	余姚平原姚江下游区	江北镇海平原区	日引水量(万m3)	日均引水流量(m3/s)
2026/03/03	3.5791000000000004	4.085100000000001	5.337000000000001	64.1268	77.128	8.92685185185185
2026/03/04	4.6421	5.1481	6.4	65.1898	81.38000000000001	9.418981481481483
2026/03/05	4.851100000000001	5.357100000000001	6.609000000000001	65.3988	82.216	9.515740740740739
2026/03/06	5.0151	5.521100000000001	6.773000000000001	65.5628	82.872	9.591666666666667
2026/03/07	5.146100000000001	5.652100000000001	6.904000000000001	65.6938	83.396	9.652314814814813
2026/03/08	5.2391000000000005	5.745100000000001	6.997000000000001	65.7868	83.768	9.69537037037037
2026/03/09	5.3141	5.8201	7.072000000000001	65.8618	84.06800000000001	9.730092592592593
2026/03/10	5.367100000000001	5.873100000000001	7.125000000000001	65.9148	84.28	9.75462962962963
2026/03/11	5.3271	5.8331	7.085000000000001	65.8748	84.11999999999999	9.736111111111109
2026/03/12	5.2821	5.7881	7.040000000000001	65.8298	83.94	9.715277777777777
2026/03/13	5.2751	5.7811	7.033000000000001	65.8228	83.912	9.712037037037037
2026/03/14	5.2891	5.795100000000001	7.047000000000001	65.8368	83.96799999999999	9.718518518518517
2026/03/15	5.2781	5.7841000000000005	7.0360000000000005	65.8258	83.924	9.713425925925925
2026/03/16	5.2961	5.8021	7.054	65.8438	83.99600000000001	9.72175925925926
2026/03/17	5.3301	5.8361	7.088000000000001	65.8778	84.13199999999999	9.737499999999999
2026/03/18	5.3741	5.8801000000000005	7.132000000000001	65.9218	84.308	9.757870370370371
2026/03/19	5.4211	5.9271	7.179	65.9688	84.49600000000001	9.77962962962963
2026/03/20	4.9461	5.452100000000001	6.704000000000001	65.4938	82.596	9.559722222222222
2026/03/21	2.7461	3.2521000000000004	4.504	63.2938	73.79599999999999	8.541203703703703
2026/03/22	4.3781	4.8841	6.136000000000001	64.9258	80.324	9.29675925925926
2026/03/23	4.8921	5.3981	6.65	65.4398	82.38000000000001	9.534722222222223
2026/03/24	2.6181	3.1241000000000003	4.376	63.1658	73.28399999999999	8.481944444444443
2026/03/25	4.2821	4.7881	6.040000000000001	64.8298	79.94000000000001	9.252314814814815
2026/03/26	2.1241000000000003	2.6301000000000005	3.882000000000001	62.6718	71.30799999999999	8.25324074074074
2026/03/27	0.2471000000000005	0.7530999999999999	2.005000000000001	60.7948	63.800000000000004	7.3842592592592595
2026/03/28	2.5171	3.0231000000000003	4.275	63.0648	72.88	8.435185185185183
2026/03/29	1.7371	2.2431	3.495	62.2848	69.75999999999999	8.074074074074073
2026/03/30	0.8780999999999999	1.3841	2.636	61.425799999999995	66.324	7.676388888888888
2026/03/31	3.3871	3.8931	5.1450000000000005	63.9348	76.36	8.837962962962962
2026/04/01	4.8011	6.3171	7.539000000000001	65.8388	84.49600000000001	9.77962962962963
2026/04/02	5.0751	6.5911	7.813000000000001	66.11280000000001	85.59200000000001	9.906481481481482
2026/04/03	0.0	0.0	2.346000000000001	60.7458	63.091800000000006	7.302291666666667
